match,team1,team2,season,date,series,match_number,venue,player_of_match,winner,over,team,runs,runs_total
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,5,Afghanistan,39,39
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,10,Afghanistan,33,72
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,15,Afghanistan,39,111
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,20,Afghanistan,51,162
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,5,Afghanistan,77,77
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,10,Afghanistan,40,117
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,15,Afghanistan,46,163
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,20,Afghanistan,42,205
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,5,Ireland,64,64
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,10,Ireland,68,132
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,15,Ireland,67,199
1040489 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-12,Afghanistan v Ireland T20I Series,3,Greater Noida Sports Complex Ground,Mohammad Nabi,Afghanistan,20,Ireland,46,245
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,5,West Indies,51,51
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,10,West Indies,65,116
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,15,West Indies,66,182
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,20,West Indies,62,244
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,5,India,50,50
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,10,India,26,76
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,15,India,34,110
1041615 - India vs West Indies,India,West Indies,2016,2016-08-27,West Indies v India T20I Series,1,Central Broward Regional Park Stadium Turf Ground,E Lewis,West Indies,20,India,33,143
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,5,Pakistan,42,42
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,10,Pakistan,57,99
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,15,Pakistan,21,120
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,20,Pakistan,23,143
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,5,West Indies,31,31
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,10,West Indies,28,59
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,15,West Indies,36,95
1050219 - Pakistan vs West Indies,Pakistan,West Indies,2016/17,2016-09-24,Pakistan v West Indies T20I Series,2,Dubai International Cricket Stadium,Sarfraz Ahmed,Pakistan,20,West Indies,29,124
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,5,Afghanistan,58,58
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,10,Afghanistan,38,96
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,15,Afghanistan,43,139
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,20,Afghanistan,44,183
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,5,United Arab Emirates,27,27
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,10,United Arab Emirates,65,92
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,15,United Arab Emirates,53,145
1072206 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-14,Afghanistan in United Arab Emirates T20I Series,1,ICC Academy,Karim Janat,Afghanistan,20,United Arab Emirates,26,171
1072207 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-16,Afghanistan in United Arab Emirates T20I Series,2,Dubai International Cricket Stadium,Najibullah Zadran,Afghanistan,5,United Arab Emirates,43,43
1072207 - United Arab Emirates vs Afghanistan,United Arab Emirates,Afghanistan,2016/17,2016-12-16,Afghanistan in United Arab Emirates T20I Series,2,Dubai International Cricket Stadium,Najibullah Zadran,Afghanistan,10,United Arab Emirates,61,104
